Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Female,1997,10.18,570,1500
Male,1997,0.92,100,200
Female,1998,9.53,550,1500
Male,1998,0.86,100,200
Female,1999,8.54,510,1500
Male,1999,0.78,100,200
Female,2000,7.43,500,1500
Male,2000,0.68,100,200
Female,2001,6.97,500,1400
Male,2001,0.64,100,200
Female,2002,6.21,500,1300
Male,2002,0.57,100,500
Female,2003,5.62,500,1300
Male,2003,0.51,100,500
Female,2004,5.19,500,1300
Male,2004,0.47,100,500
Female,2005,4.68,500,1200
Male,2005,0.43,100,500
Female,2006,4.32,500,1200
Male,2006,0.39,100,500
Female,2007,4.11,500,1300
Male,2007,0.37,100,500
Female,2008,3.81,500,1300
Male,2008,0.34,100,500
Female,2009,3.74,500,1300
Male,2009,0.33,100,540
Female,2010,3.46,500,1300
Male,2010,0.3,100,590
Female,2011,3.27,500,1300
Male,2011,0.29,100,630
Female,2012,3.06,500,1300
Male,2012,0.27,100,670
Female,2013,2.82,500,1300
Male,2013,0.25,100,710
Female,2014,2.56,500,1300
Male,2014,0.22,100,730
Female,2015,2.39,500,1300
Male,2015,0.21,100,750
Female,2016,2.12,200,1300
Male,2016,0.18,100,770
Female,2017,1.9,200,1300
Male,2017,0.17,100,790
Female,2018,1.69,200,1200
Male,2018,0.14,100,790
Female,2019,1.59,200,1200
Male,2019,0.14,100,810
Female,1990,3.13,2500,6000
Male,1990,0.4,500,740
Female,1991,3.83,3100,7100
Male,1991,0.48,500,900
Female,1992,3.56,2900,7600
Male,1992,0.44,500,1000
Female,1993,3.56,3000,8000
Male,1993,0.44,500,1100
Female,1994,3.71,3100,8500
Male,1994,0.46,500,1300
Female,1995,3.37,2900,8500
Male,1995,0.41,500,1400
Female,1996,2.98,2600,8400
Male,1996,0.36,500,1600
Female,1997,3.08,2800,8600
Male,1997,0.37,500,1900
Female,1998,2.75,2500,8600
Male,1998,0.33,500,2300
Female,1999,2.64,2500,8900
Male,1999,0.32,500,2700
Female,2000,2.45,2400,9100
Male,2000,0.29,500,3200
Female,2001,2.34,2400,9500
Male,2001,0.28,500,3700
Female,2002,2.19,2300,9900
Male,2002,0.26,500,4300
Female,2003,1.99,2100,10000
Male,2003,0.24,500,4900
Female,2004,1.76,1900,10000
Male,2004,0.21,500,5500
Female,2005,1.82,2100,11000
Male,2005,0.22,500,6100
Female,2006,1.73,2000,11000
Male,2006,0.21,500,6600
Female,2007,1.72,2000,12000
Male,2007,0.2,500,7100
Female,2008,1.75,2100,12000
Male,2008,0.21,500,7600
Female,2009,1.59,2000,12000
Male,2009,0.19,500,8000
Female,2010,1.73,2200,13000
Male,2010,0.21,500,8400
Female,2011,1.64,2100,13000
Male,2011,0.19,500,8600
Female,2012,1.56,2000,13000
Male,2012,0.18,500,8800
Female,2013,1.51,2000,13000
Male,2013,0.18,500,8900
Female,2014,1.45,1900,13000
Male,2014,0.17,500,8900
Female,2015,1.38,1900,13000
Male,2015,0.16,500,8800
Female,2016,1.34,1900,13000
Male,2016,0.16,500,8700
Female,2017,1.32,1900,13000
Male,2017,0.15,500,8400
Female,2018,1.32,1900,13000
Male,2018,0.15,500,8100
Female,2019,1.28,1900,12000
Male,2019,0.15,500,7900
Female,1990,2.58,830,1800
Male,1990,0.65,500,500
Female,1991,2.95,970,2200
Male,1991,0.73,500,520
Female,1992,3.26,1100,2600
Male,1992,0.79,500,600
Female,1993,3.47,1200,3000
Male,1993,0.83,500,680
Female,1994,3.56,1300,3300
Male,1994,0.85,500,760
Female,1995,3.67,1400,3600
Male,1995,0.87,500,840
Female,1996,3.75,1400,3900
Male,1996,0.88,500,930
Female,1997,3.65,1500,4100
Male,1997,0.86,500,1000
Female,1998,3.44,1400,4200
Male,1998,0.82,500,1100
Female,1999,3.3,1400,4300
Male,1999,0.79,500,1200
Female,2000,3.14,1400,4400
Male,2000,0.75,500,1300
Female,2001,2.94,1300,4500
Male,2001,0.71,500,1500
Female,2002,2.73,1300,4500
Male,2002,0.66,500,1600
Female,2003,2.53,1200,4500
Male,2003,0.61,500,1800
Female,2004,2.42,1200,4600
Male,2004,0.59,500,1900
Female,2005,2.23,1100,4700
Male,2005,0.54,500,2100
Female,2006,2.15,1100,4800
Male,2006,0.52,500,2300
Female,2007,2.03,1100,4900
Male,2007,0.49,500,2500
Female,2008,1.98,1100,5000
Male,2008,0.48,500,2700
Female,2009,1.94,1100,5200
Male,2009,0.47,500,2900
Female,2010,1.75,1000,5300
Male,2010,0.42,500,3100
Female,2011,1.64,960,5300
Male,2011,0.4,500,3200
Female,2012,1.55,930,5300
Male,2012,0.37,500,3300
Female,2013,1.45,900,5300
Male,2013,0.35,500,3400
Female,2014,1.41,900,5300
Male,2014,0.34,500,3400
Female,2015,1.33,870,5300
Male,2015,0.32,500,3400
Female,2016,1.27,850,5300
Male,2016,0.3,500,3400
Female,2017,1.19,820,5300
Male,2017,0.28,500,3400
Female,2018,1.11,780,5200
Male,2018,0.26,200,3400
Female,2019,1.01,730,5000
Male,2019,0.24,200,3400
Female,1990,0.11,100,100
Male,1990,0.02,100,100
Female,1991,0.15,100,100
Male,1991,0.02,100,100
Female,1992,0.23,100,100
Male,1992,0.02,100,100
Female,1993,0.3,100,100
